image_pair,score_difficulty,score_creative,bucket_difficulty,bucket_creative
00031,0.32229274016536447,0.6639520731223899,Medium,Medium
00173,0.29539265161603506,0.454091611102648,Low,Low
00436,0.0,0.5043356601613482,Low,Low
00478,0.0713494148800358,0.3209361238612421,Low,Low
00482,0.2651705677898473,0.46378779210060445,Low,Low
00666,0.2830068340252065,0.714522392901846,Low,Medium
00681,0.35237011065236196,0.45886021001544003,Medium,Low
01028,0.2578419204160835,0.5316895502598243,Low,Medium
01208,0.4061988622300251,0.6444747679802613,Medium,Medium
01271,0.4055855648787377,0.6862517280041682,Medium,Medium
01547,0.47108152803493375,0.8063343057278372,High,High
01577,0.41800256912000666,0.7176216297175065,Medium,Medium
01736,0.16847670279777005,0.5137251589734355,Low,Low
01879,0.4486112321764816,0.5251098197021594,Medium,Low
01933,0.31729323559396444,0.29898270338986926,Low,Low
01986,0.5575430374896839,0.8538377415940496,High,High
01988,0.47142777103052225,0.7723497045882143,High,High
02140,0.6160129143447763,0.8269043607864821,High,High
02145,0.4442548367201005,0.5147591952609902,Medium,Low
02166,0.5703268049879764,0.727004748550144,High,High
02268,0.6004546008488939,0.9999999950362879,High,High
02482,0.4537692333676548,0.6129642922838758,Medium,Medium
02718,0.4893349094644038,0.8450459083000237,High,High
02817,0.3700474470215977,0.8690878106326573,Medium,High
03142,0.9999999966585302,0.9107628277144688,High,High
03179,0.5847572178342552,0.8068699695499438,High,High
03432,0.2651089277569288,0.7181949206290015,Low,Medium
03969,0.16507323734164253,0.20500316366159516,Low,Low
04010,0.3718135603141692,0.6861296807354518,Medium,Medium
04371,0.34503870170520196,0.5230972481787856,Medium,Low
04398,0.35211802648367807,0.7260150995075079,Medium,Medium
04624,0.7087864879559904,0.9177462780178726,High,High
04761,0.07215733847655229,0.420801806510945,Low,Low
04963,0.5799476778130062,0.9379607650596242,High,High
05078,0.5367962570168628,0.541099990296377,High,Medium
05356,0.6158431428154921,0.9681405183754336,High,High
05358,0.5018399656651502,0.8371456374949828,High,High
05655,0.5402689525406404,0.6738548070271108,High,Medium
05688,0.4365353535876668,0.5109123702457312,Medium,Low
05698,0.02932105127482081,0.6117630380212732,Low,Medium
05783,0.16537426492571608,0.27263726466410887,Low,Low
05882,0.1652980269661474,0.6317745639548971,Low,Medium
05959,0.23598531736868522,0.0,Low,Low
05989,0.435329815823922,0.7450338547199185,Medium,High
